Ciudad;Provincia;matched_ciudad;measure value
Cariló;Buenos Aires;Catriló;1
Carlos Casares;Buenos Aires;Carlos Casares;0
Carlos Pellegrini;Santa Fe;Carlos Pellegrini;0
Carlos Pellegrini;Santa Fé;Carlos Pellegrini;0
Carlos Tejedor;Buenos Aires;Carlos Tejedor;0
Carmen de Areco;Buenos Aires;Carmen de Areco;0
Carmen de Patagones;Buenos Aires;Carmen de Patagones;0
Casbas;Buenos Aires;Casbas;0
Caseros;Buenos Aires;Caseros;0
Caseros;Entre Ríos;Caseros;0
Casilda;Santa Fe;Casilda;0
Castelar;Buenos Aires;Castelar;0
Castelli;Buenos Aires;Castelli;0
Catriel;Rio Negro;Catriel;0
Catriló;La Pampa;Catriló;0
Caucete;San Juan;Caucete;0
Caviahue;Neuquén;Caviahue;0
Cañada de Gómez;Santa Fe;Cañada de Gómez;0
Cañada Rosquín;Santa Fe;Cañada Rosquín;0
Cañada Seca;Buenos Aires;Cañada Seca;0
Cañuelas;Buenos Aires;Cañuelas;0
Centenario;Neuquén;Centenario;0
Ceres;Santa Fe;Ceres;0
Cerrito;Entre Ríos;Cerrito;0
Cerro Azul;Misiones;Cerro Azul;0
Cervantes;Río Negro;Cervantes;0
Chabás;Santa Fe;Chabas;1
Chabás;Santa Fé;Chabas;1
Chacabuco;Buenos Aires;Chacabuco;0
Chajarí;Entre Ríos;Chajarí;0
Chaján;Córdoba;Chaján;0
Chamical;La Rioja;Chamical;0
Charata;Chaco;Charata;0
Charata ;Chaco;Charata;1
Chascomús;Buenos Aires;Chascomús;0
Chavarría;Corrientes;Chavarría;0
Chañar Ladeado;Santa Fe;Chañar Ladeado;0
Chepes;La Rioja;Chepes;0
Chilecito;La Rioja;Chilecito;0
Chillar;Buenos Aires;Chillar;0
Chivilcoy;Buenos Aires;Chivilcoy;0
Choele Choel;Rio Negro;Choele Choel;0
Choele Choel;Río Negro;Choele Choel;0
Chos Malal;Neuquén;Chos Malal;0
Chovet;Santa Fe;Chovet;0
Chovet;Santa fe;Chovet;0
Chovet;Santa Fe;Chovet;0
Cinco Saltos;Río Negro;Cinco Saltos;0
Cipoletti;Rio Negro;Cipolletti;1
Cipoletti;Río Negro;Cipolletti;1
Cipolletti;Río Negro;Cipolletti;0
Claromecó;Buenos Aires;Claromecó;0
Clorinda;Formosa;Clorinda;0
Colonia Caroya;Córdoba;Colonia Caroya;0
Colón;Buenos Aires;Colón;0
Colón;Entre Ríos;Colón;0
Comodoro Rivadavia;Chubut;Comodoro Rivadavia;0
Concepción  ;Tucumán;Concepción;2
Concepción del Bermejo;Chaco;Concepción del Bermejo;0
Concepción del Uruguay;Entre Ríos;Concepción del Uruguay;0
Concepción del Uruguay;Tucumán;Concepción del Uruguay;0
Concordia;Entre Ríos;Concordia;0
Coronda;Santa Fe;Coronda;0
Coronda;Santa Fé;Coronda;0
Coronel Baigorria;Córdoba;Coronel Baigorria;0
Coronel Charlone;Buenos Aires;Coronel Charlone;0
Coronel Dorrego;Buenos Aires;Coronel Dorrego;0
Coronel Du Graty;Chaco;Coronel Du Graty;0
Coronel Moldes;Córdoba;Coronel Moldes;0
Coronel Pringles;Buenos Aires;Coronel Pringles;0
Coronel Suárez;Buenos Aires;Coronel Suárez;0
Coronel Vidal;Buenos Aires;Coronel Vidal;0
Corral de Bustos;Córdoba;Corral de Bustos;0
Corrientes;Corrientes;Corrientes;0
Corzuela;Chaco;Corzuela;0
Corzuela ;Chaco;Corzuela;1
Cosquín;Córdoba;Cosquín;0
Costa Azul;Buenos Aires;Costa Azul;0
Cplla del Monte;Córdoba;Capilla del Monte;2
Crespo;Entre Ríos;Crespo;0
Cruz Alta;Córdoba;Cruz Alta;0
Cruz del Eje;Córdoba;Cruz del Eje;0
Curuzú Cuatiá;Corrientes;Curuzú Cuatiá;0
Cutral Có;Neuquén;Cutral Có;0
Córdoba;Córdoba;Córdoba;0
Córdoba;Córdoba ;Córdoba;0
Daireaux;Buenos Aires;Daireaux;0
Darregueira;Buenos Aires;Darregueira;0
Dean Funes;Córdoba;Deán Funes;1
Diamante;Entre Ríos;Diamante;0
Dolavón;Chubut;Dolavon;1
Dolores;Buenos Aires;Dolores;0
Eduardo Castex;La Pampa;Eduardo Castex;0
El Bolsón;Rio Negro;El Bolsón;0
El Bolsón;Río Negro;El Bolsón;0
El Calafate;Santa Cruz;El Calafate;0
El Chalten;Santa Cruz;El Chaltén;1
El Colorado;Formosa;El Colorado;0
El Dorado;Misiones;El Dorado;0
El Hoyo;Chubut;El Hoyo;0
El Maitén;Chubut;El Maitén;0
El Pato;Buenos Aires;El Salto;2
El Quebrachal;Salta;El Quebrachal;0
El Soberbio;Misiones;El Soberbio;0
El Tala;Salta;El Tala;0
El Trébol;Santa Fe;El Trébol;0
El Trébol;Santa Fé;El Trébol;0
Eldorado;Misiones;Eldorado;0
Elortondo;Santa Fé;Elortondo;0
Embajador Martini;La Pampa;Embajador Martini;0
Embalse;Córdoba;Embalse;0
Embarcación;Salta;Embarcación;0
Emilia;Santa Fe;Emilia;0
Empedrado;Corrientes;Empedrado;0
Ensenada;Buenos Aires;Ensenada;0
Escobar;Buenos Aires;Escobar;0
Esperanza;Santa Fe;Esperanza;0
Esperanza;Santa Fé;Esperanza;0
Esquel;Chubut;Esquel;0
Esquel ;Chubut;Esquel;1
Esquina;Corrientes;Esquina;0
Esteban Echeverría;Buenos Aires;Esteban Echeverría;0
Etruria;Córdoba;Etruria;0
Eugenio Bustos;Mendoza;Eugenio Bustos;0
Ezeiza;Buenos Aires;Ezeiza;0
Famaila;Tucumán;Famaillá;2
Famatina;La Rioja;Famatina;0
Federación;Entre Ríos;Federación;0
Federal;Entre Ríos;Federal;0
Felipe Solá;Buenos Aires;Felipe Solá;0
Fernandez;Santiago del Estero;Fernández;1
Fiambalá;Catamarca;Fiambalá;0
Firmat;Santa Fe;Firmat;0
Firmat;Santa Fé;Firmat;0
Florencio Varela;Buenos Aires;Florencio Varela;0
Florentino Ameghino;Buenos Aires;Florentino Ameghino;0
Florida;Buenos Aires;Clorinda;2
Fontana;Chaco;Fontana;0
Formosa;Formosa;Formosa;0
Fortín Olmos;Santa Fé;Fortín Olmos;0
Franck;Santa Fé;Franck;0
Fray Luis Beltrán;Santa Fé;Fray Luis Beltrán;0
Freyre;Córdoba;Freyre;0
Frías;Santiago del Estero;Frías;0
Fuentes;Santa Fé;Fuentes;0
Funes ;Santa Fe;Funes;1
Funes ;Santa Fé;Funes;1
Gaiman;Chubut;Gaiman;0
Galvez;Santa Fe;Gálvez;1
Gaona;Salta;Gaona;0
Garré;Buenos Aires;Garré;0
Garupá;Misiones;Garupá;0
Garín;Buenos Aires;Gahan;2
General Alvear;Buenos Aires;General Alvear;0
General Alvear;Mendoza;General Alvear;0
General Alvear ;Buenos Aires;General Alvear;1
General Alvear ;Mendoza;General Alvear;1
General Arenales;Buenos Aires;General Arenales;0
General Belgrano;Buenos Aires;General Belgrano;0
General Cabrera;Córdoba;General Cabrera;0
General Campos;Entre Ríos;General Campos;0
General Conesa;Rio Negro;General Conesa;0
General Galarza;Entre Ríos;General Galarza;0
General Güemes;Salta;General Güemes;0
General Las Heras;Buenos Aires;General Las Heras;0
General Las Heras;Santa Cruz;General Las Heras;0
General Mosconi;Salta;General Mosconi;0
General Pico;La Pampa;General Pico;0
General Pinedo;Chaco;General Pinedo;0
General Pinto;Buenos Aires;General Pinto;0
General Ramírez;Entre Ríos;General Ramírez;0
General Roca;Rio Negro;General Roca;0
General Roca;Río Negro;General Roca;0
General Rodríguez;Buenos Aires;General Rodríguez;0
General San Martin;Buenos Aires;General San Martín;1
General San Martín;Buenos Aires;General San Martín;0
General Villegas;Buenos Aires;General Villegas;0
General. Belgrano;Buenos Aires;General Belgrano;1
Gobernador Crespo;Santa Fe;Gobernador Crespo;0
Gobernador Crespo;Santa Fé;Gobernador Crespo;0
Gobernador Gregores;Santa Cruz;Gobernador Gregores;0
Godoy Cruz;Mendoza;Godoy Cruz;0
Goya;Corrientes;Goya;0
Granadero Baigorria;Santa Fé;Granadero Baigorria;0
Gualeguay;Entre Ríos;Gualeguay;0
Gualeguay ;Entre Ríos;Gualeguay;1
Gualeguaychú;Entre Ríos;Gualeguaychú;0
Guaminí;Buenos Aires;Guaminí;0
Guatraché;La Pampa ;Guatraché;0
Guaymallén;Mendoza;Guaymallén;0
Guernica;Buenos Aires;Guerrico;2
Gálvez;Santa Fe;Gálvez;0
Gálvez;Santa Fé;Gálvez;0
Haedo;Buenos Aires;Pardo;2
Hanguelén;Buenos Aires;Huanguelén;1
Hasenkamp;Entre Ríos;Hasenkamp;0
Helvecia;Santa Fe;Helvecia;0
Henderson;Buenos Aires;Henderson;0
Hernando;Córdoba;Hernando;0
Hersilia;Santa Fé;Hersilia;0
Huanchilla;Córdoba;Huanchillas;1
Huanguelén;Buenos Aires;Huanguelén;0
Hughes;Santa Fe;Hughes;0
Huinca Renancó;Córdoba;Huinca Renancó;0
Humahuaca;Jujuy;Humahuaca;0
Hurligham;Buenos Aires;Hurlingham;1
Hurlingham;Buenos Aires;Hurlingham;0
Ibarreta;Formosa;Ibarreta;0
Ibicuy;Entre Ríos;Ibicuy;0
Indio Rico;Buenos Aires;Indio Rico;0
Ingeniero Jacobacci;Río Negro;Ingeniero Jacobacci;0
Ingeniero Luiggi;La Pampa;Ingeniero Luiggi;0
Inriville;Córdoba;Inriville;0
Intendente Alvear;La Pampa;Intendente Alvear;0
Isla Verde;Córdoba;Isla Verde;0
Islas Malvinas;Tierra del Fuego;Las Malvinas;2
Italo;Córdoba;Italó;1
Itatí;Corrientes;Itatí;0
Ituzaingó;Buenos Aires;Ituzaingó;0
Ituzaingó;Corrientes;Ituzaingó;0
Jacinto Aráuz;La Pampa;Jacinto Aráuz;0
James Craik;Córdoba;James Craik;0
Jardín América;Misiones;Jardín América;0
Jesús María;Córdoba;Jesús María;0
Joaquín V González;Salta;Joaquín V. González;1
Joaquín V. González;Salta;Joaquín V. González;0
José C Paz;Buenos Aires;José C. Paz;1
José C. Paz;Buenos Aires;José C. Paz;0
Juan Bautista Alberdi;Tucumán;Juan Bautista Alberdi;0
Juan José Castelli;Chaco;Juan José Castelli;0
Juan Pujol;Corrientes;Juan Pujol;0
Junin;Buenos Aires;Junín;1
Junin de los Andes;Neuquén;Junín de los Andes;1
Junín;Buenos Aires;Junín;0
Junín de los Andes;Neuquén;Junín de los Andes;0
Justiniano Posse;Córdoba;Justiniano Posse;0
Justo Daract;San Juan;Justo Daract;0
Justo Daract;San Luis;Justo Daract;0
Júnin de los Andes;Neuquén;Junín de los Andes;2
La Banda;Santiago del Estero;La Banda;0
La Calera;Córdoba;La Calera;0
La Carlota;Córdoba;La Carlota;0
La Cocha;Tucumán;La Cocha;0
La Consulta;Mendoza;La Consulta;0
La Cruz;Corrientes;La Cruz;0
La Cumbre;Córdoba;La Cumbre;0
La Falda;Córdoba;La Falda;0
La Leonesa;Chaco;La Leonesa;0
La Lucila;Buenos Aires;La Lucila;0
La Matanza;Buenos Aires;La Matanza;0
La Para;Córdoba;La Para;0
La Paz;Buenos Aires;La Paz;0
La Paz;Entre Ríos;La Paz;0
La Plata;Buenos Aires;La Plata;0
La Punta;San Luis;La Punta;0
La Qiuaca;Jujuy;La Quiaca;2
La Quiaca;Jujuy;La Quiaca;0
La Quiaca;Jyjuy;La Quiaca;0
La Rioja;La Rioja;La Rioja;0
La Salada;Buenos Aires;Las Saladas;2
La Toma;San Luis;La Toma;0
La Unión;Buenos Aires;La Unión;0
Laborde;Córdoba;Laborde;0
Laboulaye;Córdoba;Laboulaye;0
Lago Pueblo;Chubut;Lago Puelo;1
Lago Puelo;Chubut;Lago Puelo;0
Laguna Blanca;Formosa;Laguna Blanca;0
Laguna Larga;Córdoba;Laguna Larga;0
Laguna Paiva;Santa Fé;Laguna Paiva;0
Lamarque;Rio Negro;Lamarque;0
Lanús;Buenos Aires;Lanús;0
Laprida;Buenos Aires;Laprida;0
Larroque;Entre Ríos;Larroque;0
Las Acequias;Córdoba;Las Acequias;0
Las Breñas;Chaco;Las Breñas;0
Las Flores;Buenos Aires;Las Flores;0
Las Grutas;Río Negro;Las Grutas;0
Las Heras;Buenos Aires;Las Heras;0
Las Heras;Mendoza;Las Heras;0
Las Lajitas;Salta;Las Lajitas;0
Las Lomitas;Formosa;Las Lomitas;0
Las Palmas;Chaco;Las Palmas;0
Las Parejas;Santa Fe;Las Parejas;0
Las Parejas;Santa Fé;Las Parejas;0
Las Perdices ;Córdoba;Las Perdices;1
Las Rosas;Santa Fe;Las Rosas;0
Las Rosas;Santa Fé;Las Rosas;0
Las Talitas;Tucuman;Las Tapias;2
Las Talitas;Tucumán;Las Tapias;2
Las Toscas;Santa Fé;Las Toscas;0
Las Varas;Córdoba;Las Varas;0
Las Varillas;Córdoba;Las Varillas;0
Leandro N. Alem;Misiones;Leandro N. Alem;0
Leones;Córdoba;Leones;0
Lezama;Buenos Aires;Lozada;2
Libertad;Buenos Aires;Libertad;0
Libertad  ;Buenos Aires;Libertad;2
Lima;Buenos Aires;Lima;0
Lincoln;Buenos Aires;Lincoln;0
Lnús;Buenos Aires;Lanús;1
Lobería;Buenos Aires;Lobería;0
Lobos;Buenos Aires;Lobos;0
Lomas de Zamora;Buenos Aires;Lomas de Zamora;0
Los Antiguos;Santa Cruz;Los Antiguos;0
Los Cocos;Córdoba;Los Cocos;0
Los Condores;Córdoba;Los Cóndores;1
Los Cóndores;Córdoba;Los Cóndores;0
Los cóndores;Córdoba ;Los Cóndores;0
Los Ralos;Tucumán;Los Ralos;0
Los Reartes;Córdoba;Los Reartes;0
Los Surgentes;Córdoba;Los Surgentes;0
Los Toldos;Buenos Aires;Los Toldos;0
Los Zorros;Córdoba;Los Zorros;0
Lucas Gonzáles;Entre Ríos;Lucas González;1
Lucas González;Entre Ríos;Lucas González;0
Luis Beltrán;Rio Negro;Luis Beltrán;0
Luis Beltrán;Río Negro;Luis Beltrán;0
Luján;Buenos Aires;Luján;0
Luque;Córdoba;Luque;0
Machagai;Chaco;Machagai;0
Macia;Entre Ríos;Maciá;1
Maciá;Entre Ríos;Maciá;0
Magdalena;Buenos Aires;Magdalena;0
Maipú;Buenos Aires;Maipú;0
Maipú;Mendoza;Maipú;0
Makallé;Chaco;Makallé;0
Malabrigo;Santa Fé;Malabrigo;0
Malargüe;Mendoza;Malargüe;0
Malvinas Argentinas;Buenos Aires;Malvinas Argentinas;0
Manfredy;Córdoba;Manfredi;1
Maquinchao;Rio Negro;Maquinchao;0
Mar del Plata;Buenos Aires;Mar del Plata;0
Marcos Juarez;Córdoba;Marcos Juárez;1
Marcos Juárez;Córdoba;Marcos Juárez;0
Marcos Paz;Buenos Aires;Marcos Paz;0
Maria Juana;Santa Fe;María Juana;1
Maria Susana;Santa Fe;María Susana;1
Mariano H. Alfonzo;Buenos Aires;Mariano H. Alfonzo;0
María Grande;Entre Ríos;María Grande;0
María Juana;Santa Fe;María Juana;0
Mburucuyá;Corrientes;Mburucuyá;0
Mechita;Buenos Aires;Mechita;0
Mechongué;Buenos Aires;Mechongué;0
Melo;Córdoba;Melo;0
Mendoza;Mendoza;Mendoza;0
Mercedes;Buenos Aires;Mercedes;0
Mercedes;Corrientes;Mercedes;0
Merlo;Buenos Aires;Merlo;0
Merlo;San Luis;Merlo;0
Mesón de Fierro;Chaco;Mesón de Fierro;0
Metán;Salta;Batán;2
Milagro;La Rioja;Milagro;0
Mina Clavero;Córdoba;Mina Clavero;0
Miraflores;Chaco;Miraflores;0
Miramar;Buenos Aires;Miramar;0
Mocoretà;Corrientes;Mocoretá;1
Mocoretá;Corrientes;Mocoretá;0
Monte Buey;Córdoba;Monte Buey;0
Monte Caseros;Corrientes;Monte Caseros;0
Monte Coseros;Corrientes;Monte Caseros;1
Monte Hermoso;Buenos Aires;Monte Hermoso;0
Monte Maíz;Córdoba;Monte Maíz;0
Monte Quemado;Santiago del Estero;Monte Quemado;0
Montecarlo;Misiones;Montecarlo;0
Monteros;Tucumán;Monteros;0
Monterrico;Jujuy;Monterrico;0
Monterrico;Jyjuy;Monterrico;0
Montes de Oca;Santa Fe;Montes de Oca;0
Moreno;Buenos Aires;Moreno;0
Morrison;Córdoba;Morrison;0
Morteros;Córdoba;Morteros;0
Morón;Buenos Aires;Morón;0
Murphy;Santa Fe;Murphy;0
Navarro;Buenos Aires;Navarro;0
Nelson;Santa Fe ;Nelson;0
Neuquen;Neuquen;Neuquén;1
Neuquen;Neuquén;Neuquén;1
Neuquén;Neuquen;Neuquén;0
Neuquén;Neuquén;Neuquén;0
Neuquén;Neuquén ;Neuquén;0
Noetinger;Córdoba;Noetinger;0
Nogoyá;Entre Ríos;Nogoyá;0
Nono;Córdoba;Nono;0
Norberto de la Riestra;Buenos Aires;Norberto de la Riestra;0
Oberá;Misiones;Oberá;0
Olavarría;Buenos Aires;Olavarría;0
Oliva;Córdoba;Oliva;0
Olivos;Buenos Aires;Oliveros;2
Olta;La Rioja;Olta;0
Olta;La Rioja ;Olta;0
Oncativo;Córdoba;Oncativo;0
Ordóñez;Córdoba;Ordoñez;1
Orense;Buenos Aires;Orense;0
Oro Verde;Entre Ríos;Oro Verde;0
Orán;Salta;Puán;2
Palpalá;Jujuy;Palpalá;0
Pampa De Los Guanacos;Santiago del Estero;Pampa de los Guanacos;0
Pampa del Indio;Chaco;Pampa del Indio;0
Paraná;Entre Ríos;Paraná;0
Parera;La Pampa;Parera;0
Pascanas;Córdoba;Pascanas;0
Paso de los Libres;Corrientes;Paso de los Libres;0
Pblo Libertador;Corrientes;Pueblo Libertador;2
Pedro Luro;Buenos Aires;Pedro Luro;0
Pehuajó;Buenos Aires;Pehuajó;0
Pellegrini;Buenos Aires;Pellegrini;0
Perez;Santa Fe;Pérez;1
Pergamino;Buenos Aires;Pergamino;0
Pericó;Jujuy;Perico;1
Perito Moreno;Santa Cruz;Perito Moreno;0
Peyrano;Santa Fe;Peyrano;0
Pichanal;Salta;Pichanal;0
Pico truncado;Santa Cruz;Pico Truncado;0
Pico Truncado;Santa Cruz;Pico Truncado;0
Pico truncado;Santa Cruz;Pico Truncado;0
Piedra del Aguila;Neuquén;Piedra del Águila;1
Piedras Blancas;Entre Ríos;Piedras Blancas;0
Pigué;Buenos Aires;Pigüé;1
Pigüé;Buenos Aires;Pigüé;0
Pilar;Buenos Aires;Pilar;0
Pilar;Córdoba;Pilar;0
Pilar;Santa Fe;Pilar;0
Pinamar;Buenos Aires;Pinamar;0
Pirané;Formosa;Pirané;0
Piñeyro;Buenos Aires;Piñero;1
Poman;Catamarca;Pomán;1
Pomán;Catamarca;Pomán;0
Porteña;Córdoba;Porteña;0
Posadas;Misiones;Posadas;0
Pozo del Molle;Córdoba;Pozo del Molle;0
Presidencia Roque Sáenz Peña;Chaco;Presidencia Roque Sáenz Peña;0
Progreso;Santa Fe;Progreso;0
Ps de los Libres;Corrientes;Paso de los Libres;2
Puan;Buenos Aires;Puán;1
Pueblo Esther;Santa Fe;Pueblo Esther;0
Pueblo Italiano;Córdoba;Pueblo Italiano;0
Puerto Deseado;Santa Cruz;Puerto Deseado;0
Puerto Esperanza;Misiones;Puerto Esperanza;0
Puerto Iguazú;Misiones;Puerto Iguazú;0
Puerto Madryn;Chubut;Puerto Madryn;0
Puerto Madryn ;Chubut;Puerto Madryn;1
Puerto Rico;Misiones;Puerto Rico;0
Puerto San Julian;Santa Cruz;Puerto San Julián;1
Puerto San Julián;Santa Cruz;Puerto San Julián;0
Puerto Santa Cruz;Santa Cruz;Puerto Santa Cruz;0
Punta Alta;Buenos Aires;Punta Alta;0
Punta Indio;Buenos Aires;Punta Indio;0
Puán;Buenos Aires;Puán;0
Quilmes;Buenos Aires;Quilmes;0
Quimili;Santiago del Estero;Quimili;0
Quines;San Juan;Quines;0
Quitilipi;Chaco;Quitilipi;0
Rafaela;Santa Fe;Rafaela;0
Rafaela;Santa Fe ;Rafaela;0
Ramallo;Buenos Aires;Ramallo;0
Ramona;Santa Fe;Ramona;0
Ranchos;Buenos Aires;Ranchos;0
Rancul;La Pampa;Rancul;0
Rauch;Buenos Aires;Rauch;0
Rawson;Chubut;Rawson;0
Rawson;San Juan;Rawson;0
Realicó;La Pampa;Realicó;0
Reconquista;Santa Fe;Reconquista;0
Reconquista;Santa Fe ;Reconquista;0
Recreo;Catamarca;Recreo;0
Recreo;Santa Fe;Recreo;0
Recreo;Santa Fe ;Recreo;0
Resistencia;Chaco;Resistencia;0
Reta;Buenos Aires;Reta;0
Ricardone;Santa Fe;Ricardone;0
Rincon de los Sauces;Neuquén;Rincón de los Sauces;1
Rincón de los Sauces;Neuquén;Rincón de los Sauces;0
Rio Colorado;Rio Negro;Río Colorado;1
Rio Colorado;Río Negro;Río Colorado;1
Rio Cuarto;Córdoba;Río Cuarto;1
Rio Gallegos;Santa Cruz;Río Gallegos;1
Rio Grande;Tierra del Fuego;Río Grande;1
Rio Mayo;Chubut;Río Mayo;1
Rivadavia;Buenos Aires;Rivadavia;0
Rivadavia;Mendoza;Rivadavia;0
Rivadavia;San Juan;Rivadavia;0
Rivera;Buenos Aires;Rivera;0
Rojas;Buenos Aires;Rojas;0
Roldán;Santa Fe;Roldán;0
Romang;Santa Fe;Romang;0
Román;Santa Fe;Pomán;1
Roque Peréz;Buenos Aires;Roque Pérez;2
Roque Pérez;Buenos Aires;Roque Pérez;0
Rosario;Santa Fe;Rosario;0
Rosario;Santa Fe ;Rosario;0
Rosario de la Frontera;Salta;Rosario de la Frontera;0
Rosario de la frontera;Salta;Rosario de la Frontera;0
Rosario de la Frontera;Salta;Rosario de la Frontera;0
Rosario de Lerma;Salta;Rosario de Lerma;0
Rosario del Tala;Entre Ríos;Rosario del Tala;0
Rufino;Santa Fe;Rufino;0
Rufino;Santa Fe ;Rufino;0
Río Ceballos;Córdoba;Río Ceballos;0
Río Colorado;Río Negro;Río Colorado;0
Río Cuarto;Córdoba;Río Cuarto;0
Río Cuarto;Córdoba ;Río Cuarto;0
Río de los Sauces;Córdoba;Río de los Sauces;0
Río Gallegos;Buenos Aires;Río Gallegos;0
Río Gallegos;Santa Cruz;Río Gallegos;0
Río Grande;Tierra del Fuego;Río Grande;0
Río Mayo;Chubut;Río Mayo;0
Río Primero;Córdoba;Río Primero;0
Río Segundo;Córdoba;Río Segundo;0
Río Tercero;Córdoba;Río Tercero;0
S Carlos Centro;Santa Fe;San Carlos Centro;2
S Jerónimo Norte;Santa Fe;San Jerónimo Norte;2
Saavedra;Buenos Aires;Saavedra;0
Sacháyoj;Santiago del Estero;Sachayoj;1
Saladas;Corrientes;Saladas;0
Saladillo;Buenos Aires;Saladillo;0
Salazar;Buenos Aires;Salazar;0
Salliqueló;Buenos Aires;Salliqueló;0
Salta;Salta;Salta;0
Salta;Salta ;Salta;0
Salto;Buenos Aires;Salto;0
Salvador Mazza;Salta;Salvador María;2
Sampacho;Córdoba;Sampacho;0
San Andrés  ;Buenos Aires;San Andrés;2
San Andrés de Giles;Buenos Aires;San Andrés de Giles;0
San Antonio de Areco;Buenos Aires;San Antonio de Areco;0
San Antonio Oeste;Rio Negro;San Antonio Oeste;0
San Antonio Oeste;Río Negro;San Antonio Oeste;0
San Basilio;Córdoba;San Basilio;0
San Benito;Entre Ríos;San Benito;0
San Bernardo;Buenos Aires;San Bernardo;0
San Bernardo;Chaco;San Bernardo;0
San Carlos Centro;Santa Fe;San Carlos Centro;0
San Carlos de Bariloche;Rio Negro;San Carlos de Bariloche;0
