Ciudad;Provincia;matched_ciudad;measure value
Huanchilla;Córdoba;Huanchillas;1
Huanguelén;Buenos Aires;Huanguelén;0
Hughes;Santa Fe;Hughes;0
Huinca Renancó;Córdoba;Huinca Renancó;0
Humahuaca;Jujuy;Humahuaca;0
Hurligham;Buenos Aires;Hurlingham;1
Hurlingham;Buenos Aires;Hurlingham;0
Ibarreta;Formosa;Ibarreta;0
Ibicuy;Entre Ríos;Ibicuy;0
Iguazú;Misiones;Iguazú;0
Indio Rico;Buenos Aires;Indio Rico;0
Ing Huergo;Rio Negro;Ing Huergo;0
Ing Jacobacci;Rio Negro;Ing Jacobacci;0
Ingeniero Jacobacci;Río Negro;Ingeniero Jacobacci;0
Ingeniero Luiggi;La Pampa;Ingeniero Luiggi;0
Inriville;Córdoba;Inriville;0
Intendente Alvear;La Pampa;Intendente Alvear;0
Isidro Casanova;Buenos Aires;Isidro Casanova;0
Isidro Casanova, La Matanza;Buenos Aires;Isidro Casanova, La Matanza;0
Isla Verde;Córdoba;Isla Verde;0
Islas Malvinas;Tierra del Fuego;Islas Malvinas;0
Italo;Córdoba;Italó;1
Itatí;Corrientes;Itatí;0
Ituzaingó;Buenos Aires;Ituzaingó;0
Ituzaingó;Corrientes;Ituzaingó;0
J. B. Alberdi;Buenos Aires;J. B. Alberdi;0
J. de San Martín;Chubut;J. de San Martín;0
Jacinto Aráuz;La Pampa;Jacinto Aráuz;0
James Craik;Córdoba;James Craik;0
Jardín América;Misiones;Jardín América;0
Jesús María;Córdoba;Jesús María;0
Joaquín V González;Salta;Joaquín V. González;1
Joaquín V. González;Salta;Joaquín V. González;0
José C Paz;Buenos Aires;José C. Paz;1
José C. Paz;Buenos Aires;José C. Paz;0
José Ingeniero;Buenos Aires;José Ingeniero;0
José Ingenieros;Buenos Aires;José Ingenieros;0
José León Suárez;Buenos Aires;José León Suárez;0
Jovita;Córdoba;Jovita;0
Juan Bautista Alberdi;Tucumán;Juan Bautista Alberdi;0
Juan J Castelli;Chaco;Juan J Castelli;0
Juan J. Castelli;Chaco;Juan J. Castelli;0
Juan José Castelli;Chaco;Juan José Castelli;0
Juan Pujol;Corrientes;Juan Pujol;0
JuanJ. Castelli;Chaco;JuanJ. Castelli;0
Junin;Buenos Aires;Junín;1
Junin de los Andes;Neuquén;Júnin de los Andes;1
Junín;Buenos Aires;Junín;0
Junín de los Andes;Neuquén;Junín de los Andes;0
Justiniano Posse;Córdoba;Justiniano Posse;0
Justo Daract;San Juan;Justo Daract;0
Justo Daract;San Luis;Justo Daract;0
Jáchal;San Juan;Jáchal;0
Jáuregui;Buenos Aires;Jáuregui;0
Júnin de los Andes;Neuquén;Júnin de los Andes;0
La Banda;Santiago del Estero;La Banda;0
La Calera;Córdoba;La Calera;0
La Carlota;Córdoba;La Carlota;0
La Cocha;Tucumán;La Cocha;0
La Consulta;Mendoza;La Consulta;0
La Cruz;Corrientes;La Cruz;0
La Cumbre;Córdoba;La Cumbre;0
La Dulce;Buenos Aires;La Dulce;0
La Falda;Córdoba;La Falda;0
La Leonesa;Chaco;La Leonesa;0
La Lucila;Buenos Aires;La Lucila;0
La Matanza;Buenos Aires;La Matanza;0
La Para;Córdoba;La Para;0
La Paz;Buenos Aires;La Paz;0
La Paz;Entre Ríos;La Paz;0
La Plata;Buenos Aires;La Plata;0
La Punta;San Luis;La Punta;0
La Qiuaca;Jujuy;La Qiuaca;0
La Quiaca;Jujuy;La Quiaca;0
La Quiaca;Jyjuy;La Quiaca;0
La Rioja;La Rioja;La Rioja;0
La Salada;Buenos Aires;La Salada;0
La Toma;San Luis;La Toma;0
La Unión;Buenos Aires;La Unión;0
Laborde;Córdoba;Laborde;0
Laboulaye;Córdoba;Laboulaye;0
Lago Pueblo;Chubut;Lago Puelo;1
Lago Puelo;Chubut;Lago Puelo;0
Laguna Blanca;Formosa;Laguna Blanca;0
Laguna Larga;Córdoba;Laguna Larga;0
Laguna Naineck;Formosa;Laguna Naineck;0
Laguna Paiva;Santa Fé;Laguna Paiva;0
Lamarque;Rio Negro;Lamarque;0
Lanús;Buenos Aires;Lanús;0
Lanús Oeste;Buenos Aires;Lanús Oeste;0
Laprida;Buenos Aires;Laprida;0
Larroque;Entre Ríos;Larroque;0
Las Acequias;Córdoba;Las Acequias;0
Las Breñas;Chaco;Las Breñas;0
Las Flores;Buenos Aires;Las Flores;0
Las Grutas;Río Negro;Las Grutas;0
Las Heras;Buenos Aires;Las Heras;0
Las Heras;Mendoza;Las Heras;0
Las Lajitas;Salta;Las Lajitas;0
Las Lomitas;Formosa;Las Lomitas;0
Las Palmas;Chaco;Las Palmas;0
Las Parejas;Santa Fe;Las Parejas;0
Las Parejas;Santa Fé;Las Parejas;0
Las Perdices;Córdoba;Las Perdices;0
Las Rosas;Santa Fe;Las Rosas;0
Las Rosas;Santa Fé;Las Rosas;0
Las Talitas;Tucuman;Las Talitas;0
Las Talitas;Tucumán;Las Talitas;0
Las Tejas del Valle Viejo;Catamarca;Las Tejas del Valle Viejo;0
Las Toscas;Santa Fé;Las Toscas;0
Las Varas;Córdoba;Las Varas;0
Las Varillas;Córdoba;Las Varillas;0
Leandro N. Alem;Misiones;Leandro N. Alem;0
Leones;Córdoba;Leones;0
Lezama;Buenos Aires;Lezama;0
Lib. Gral San Martín;Entre Ríos;Lib. Gral San Martín;0
Lib. Gral San Martín;Jujuy;Lib. Gral San Martín;0
Lib. Gral. San Martín;Jujuy;Lib. Gral. San Martín;0
Libertad;Buenos Aires;Libertad;0
Libertad;Buenos Aires;Libertad;0
Libertador Gral San Martín;Juuy;Libertador Gral San Martín;0
Libertador Gral. San Martín;Jujuy;Libertador Gral. San Martín;0
Lima;Buenos Aires;Lima;0
Lincoln;Buenos Aires;Lincoln;0
Llavallol;Buenos Aires;Llavallol;0
Lnús;Buenos Aires;Lanús;1
Lobería;Buenos Aires;Lobería;0
Lobos;Buenos Aires;Lobos;0
Loma Hermosa;Buenos Aires;Loma Hermosa;0
Lomas de Zamora;Buenos Aires;Lomas de Zamora;0
Lomas del Mirador;Buenos Aires;Lomas del Mirador;0
Longchamps;Buenos Aires;Longchamps;0
Los Antiguos;Santa Cruz;Los Antiguos;0
Los Cocos;Córdoba;Los Cocos;0
Los Condores;Córdoba;Los Cóndores;1
Los Cóndores;Córdoba;Los Cóndores;0
Los cóndores;Córdoba ;Los Cóndores;0
Los Polvorines;Buenos Aires;Los Polvorines;0
Los Ralos;Tucumán;Los Ralos;0
Los Reartes;Córdoba;Los Reartes;0
Los Surgentes;Córdoba;Los Surgentes;0
Los Toldos;Buenos Aires;Los Toldos;0
Los Zorros;Córdoba;Los Zorros;0
Lucas Gonzáles;Entre Ríos;Lucas González;1
Lucas González;Entre Ríos;Lucas González;0
Lucila del Mar;Buenos Aires;Lucila del Mar;0
Luis Beltrán;Rio Negro;Luis Beltrán;0
Luis Beltrán;Río Negro;Luis Beltrán;0
Luis Guillon;Buenos Aires;Luis Guillon;0
Luján;Buenos Aires;Luján;0
Luque;Córdoba;Luque;0
Machagai;Chaco;Machagai;0
Macia;Entre Ríos;Maciá;1
Maciá;Entre Ríos;Maciá;0
Magdalena;Buenos Aires;Magdalena;0
Maipú;Buenos Aires;Maipú;0
Maipú;Mendoza;Maipú;0
Makallé;Chaco;Makallé;0
Malabrigo;Santa Fé;Malabrigo;0
Malargüe;Mendoza;Malargüe;0
Malvinas Argentinas;Buenos Aires;Malvinas Argentinas;0
Manfredy;Córdoba;Manfredi;1
Maquinchao;Rio Negro;Maquinchao;0
Mar de Ajó;Buenos Aires;Mar de Ajó;0
Mar de las Pampas;Buenos Aires;Mar de las Pampas;0
Mar del Plata;Buenos Aires;Mar del Plata;0
Mar del Tuyú;Buenos Aires;Mar del Tuyú;0
Marcos Juarez;Córdoba;Marcos Juárez;1
Marcos Juárez;Córdoba;Marcos Juárez;0
Marcos Paz;Buenos Aires;Marcos Paz;0
Maria Juana;Santa Fe;María Juana;1
Maria Susana;Santa Fe;María Susana;1
Mariano H. Alfonzo;Buenos Aires;Mariano H. Alfonzo;0
Martinez de Hoz;Buenos Aires;Martinez de Hoz;0
Martín Coronado;Buenos Aires;Martín Coronado;0
Martínez;Buenos Aires;Martínez;0
Martínez, San Isidro;Buenos Aires;Martínez, San Isidro;0
María Grande;Entre Ríos;María Grande;0
María Juana;Santa Fe;María Juana;0
Mayor Vicente E. Villafañe;Formosa;Mayor Vicente E. Villafañe;0
Mburucuyá;Corrientes;Mburucuyá;0
Mechita;Buenos Aires;Mechita;0
Mechongué;Buenos Aires;Mechongué;0
Melo;Córdoba;Melo;0
Mendoza;Mendoza;Mendoza;0
Mercedes;Buenos Aires;Mercedes;0
