Ciudad;Provincia
Fuentes;Santa Fé
Funes ;Santa Fe
Funes ;Santa Fé
G de Laferrere;Buenos Aires
G. de Laferrere;Buenos Aires
Gaiman;Chubut
Galvez;Santa Fe
Gaona;Salta
Garré;Buenos Aires
Garupá;Misiones
Garín;Buenos Aires
Gbdor. Virasoro;Corrientes
Gdor. Virasoro;Corrientes
General Alvarado;Buenos Aires
General Alvear;Buenos Aires
General Alvear;Mendoza
General Alvear ;Buenos Aires
General Alvear ;Mendoza
General Arenales;Buenos Aires
General Belgrano;Buenos Aires
General Cabrera;Córdoba
General Campos;Entre Ríos
General Conesa;Rio Negro
General Galarza;Entre Ríos
General Güemes;Salta
General Las Heras;Buenos Aires
General Las Heras;Santa Cruz
General Madariaga;Buenos Aires
General Mosconi;Salta
General Pacheco ;Buenos Aires
General Pico;La Pampa
General Pinedo;Chaco
General Pinto;Buenos Aires
General Ramírez;Entre Ríos
General Roca;Rio Negro
General Roca;Río Negro
General Rodríguez;Buenos Aires
General San Martin;Buenos Aires
General San Martín;Buenos Aires
General Viamonte;Buenos Aires
General Villegas;Buenos Aires
General. Belgrano;Buenos Aires
Glew;Buenos Aires
Gobernador Crespo;Santa Fe
Gobernador Crespo;Santa Fé
Gobernador Gregores;Santa Cruz
Gobernador Virasoro;Corrientes
Godoy Cruz;Mendoza
Gonzales Chaves;Buenos Aires
Gonzales Chávez;Buenos Aires
Gonzalez Catán;Buenos Aires
Gonzáles Chaves;Buenos Aires
Gonzáles Cháves;Buenos Aires
González Catán;Buenos Aires
González Chávez;Buenos Aires
Goya;Corrientes
Gral Las Heras;Buenos Aires
Gral. Alvarado;Buenos Aires
Gral. Alvear;Buenos Aires
Gral. Alvear;Mendoza
Gral. Belgrano;Buenos Aires
Gral. Cabrera;Córdoba
Gral. Campos;Entre Ríos
Gral. Conesa;Río Negro
Gral. Deheza;Córdoba
Gral. Güemes;Salta
Gral. Lamadrid;Buenos Aires
Gral. Las Heras;Buenos Aires
Gral. Lavalle;Buenos Aires
Gral. Madariaga;Buenos Aires
Gral. Pacheco;Buenos Aires
Gral. Pinedo;Chaco
Gral. Pinto;Buenos Aires
Gral. Roca;Río Negro
Gral. Rodriguez;Buenos Aires
Gral. Rodríguez;Buenos Aires
Gral. Rojo;Buenos Aires
Gral. San Martín;Buenos Aires
Gral. San Martín;Chaco
Gral. Villegas;Buenos Aires
Granadero Baigorria;Santa Fé
Gregorio de Laferrere;Buenos Aires
Gualeguay;Entre Ríos
Gualeguay ;Entre Ríos
Gualeguaychú;Entre Ríos
Guaminí;Buenos Aires
Guatraché;La Pampa 
Guaymallén;Mendoza
Guernica;Buenos Aires
Gálvez;Santa Fe
Gálvez;Santa Fé
Haedo;Buenos Aires
Hanguelén;Buenos Aires
Hasenkamp;Entre Ríos
Helvecia;Santa Fe
Henderson;Buenos Aires
Hernando;Córdoba
Hersilia;Santa Fé
Huanchilla;Córdoba
Huanguelén;Buenos Aires
Hughes;Santa Fe
Huinca Renancó;Córdoba
Humahuaca;Jujuy
Hurligham;Buenos Aires
Hurlingham;Buenos Aires
Ibarreta;Formosa
Ibicuy;Entre Ríos
Iguazú;Misiones
Indio Rico;Buenos Aires
Ing Huergo;Rio Negro
Ing Jacobacci;Rio Negro
Ingeniero Jacobacci;Río Negro
Ingeniero Luiggi;La Pampa
Inriville;Córdoba
Intendente Alvear;La Pampa
Isidro Casanova;Buenos Aires
Isidro Casanova, La Matanza;Buenos Aires
Isla Verde;Córdoba
Islas Malvinas;Tierra del Fuego
Italo;Córdoba
Itatí;Corrientes
Ituzaingó;Buenos Aires
Ituzaingó;Corrientes
J. B. Alberdi;Buenos Aires
J. de San Martín;Chubut
Jacinto Aráuz;La Pampa
James Craik;Córdoba
Jardín América;Misiones
Jesús María;Córdoba
Joaquín V González;Salta
Joaquín V. González;Salta
José C Paz;Buenos Aires
José C. Paz;Buenos Aires
José Ingeniero;Buenos Aires
José Ingenieros;Buenos Aires
José León Suárez;Buenos Aires
Jovita;Córdoba
Juan Bautista Alberdi;Tucumán
Juan J Castelli;Chaco
Juan J. Castelli;Chaco
Juan José Castelli;Chaco
Juan Pujol;Corrientes
JuanJ. Castelli;Chaco
Junin;Buenos Aires
Junin de los Andes;Neuquén
Junín;Buenos Aires
Junín de los Andes;Neuquén
Justiniano Posse;Córdoba
Justo Daract;San Juan
Justo Daract;San Luis
Jáchal;San Juan
Jáuregui;Buenos Aires
Júnin de los Andes;Neuquén
La Banda;Santiago del Estero
La Calera;Córdoba
La Carlota;Córdoba
La Cocha;Tucumán
La Consulta;Mendoza
La Cruz;Corrientes
La Cumbre;Córdoba
La Dulce;Buenos Aires
La Falda;Córdoba
La Leonesa;Chaco
La Lucila;Buenos Aires
La Matanza;Buenos Aires
La Para;Córdoba
La Paz;Buenos Aires
La Paz;Entre Ríos
La Plata;Buenos Aires
La Punta;San Luis
La Qiuaca;Jujuy
La Quiaca;Jujuy
La Quiaca;Jyjuy
La Rioja;La Rioja
La Salada;Buenos Aires
La Toma;San Luis
La Unión;Buenos Aires
Laborde;Córdoba
Laboulaye;Córdoba
Lago Pueblo;Chubut
Lago Puelo;Chubut
Laguna Blanca;Formosa
Laguna Larga;Córdoba
Laguna Naineck;Formosa
Laguna Paiva;Santa Fé
Lamarque;Rio Negro
Lanús;Buenos Aires
Lanús Oeste;Buenos Aires
Laprida;Buenos Aires
Larroque;Entre Ríos
Las Acequias;Córdoba
Las Breñas;Chaco
Las Flores;Buenos Aires
Las Grutas;Río Negro
Las Heras;Buenos Aires
Las Heras;Mendoza
Las Lajitas;Salta
Las Lomitas;Formosa
Las Palmas;Chaco
Las Parejas;Santa Fe
Las Parejas;Santa Fé
Las Perdices ;Córdoba
Las Rosas;Santa Fe
Las Rosas;Santa Fé
Las Talitas;Tucuman
Las Talitas;Tucumán
Las Tejas del Valle Viejo;Catamarca
Las Toscas;Santa Fé
Las Varas;Córdoba
Las Varillas;Córdoba
Leandro N. Alem;Misiones
Leones;Córdoba
Lezama;Buenos Aires
Lib. Gral San Martín;Entre Ríos
Lib. Gral San Martín;Jujuy
Lib. Gral. San Martín;Jujuy
Libertad;Buenos Aires
Libertad  ;Buenos Aires
Libertador Gral San Martín;Juuy
Libertador Gral. San Martín;Jujuy
Lima;Buenos Aires
Lincoln;Buenos Aires
Llavallol;Buenos Aires
Lnús;Buenos Aires
Lobería;Buenos Aires
Lobos;Buenos Aires
Loma Hermosa;Buenos Aires
Lomas de Zamora;Buenos Aires
Lomas del Mirador;Buenos Aires
Longchamps;Buenos Aires
Los Antiguos;Santa Cruz
Los Cocos;Córdoba
Los Condores;Córdoba
Los Cóndores;Córdoba
Los cóndores;Córdoba 
Los Polvorines;Buenos Aires
Los Ralos;Tucumán
Los Reartes;Córdoba
Los Surgentes;Córdoba
Los Toldos;Buenos Aires
Los Zorros;Córdoba
Lucas Gonzáles;Entre Ríos
Lucas González;Entre Ríos
Lucila del Mar;Buenos Aires
Luis Beltrán;Rio Negro
Luis Beltrán;Río Negro
Luis Guillon;Buenos Aires
Luján;Buenos Aires
Luque;Córdoba
Machagai;Chaco
Macia;Entre Ríos
Maciá;Entre Ríos
Magdalena;Buenos Aires
Maipú;Buenos Aires
Maipú;Mendoza
Makallé;Chaco
Malabrigo;Santa Fé
Malargüe;Mendoza
Malvinas Argentinas;Buenos Aires
Manfredy;Córdoba
Maquinchao;Rio Negro
Mar de Ajó;Buenos Aires
Mar de las Pampas;Buenos Aires
Mar del Plata;Buenos Aires
Mar del Tuyú;Buenos Aires
Marcos Juarez;Córdoba
Marcos Juárez;Córdoba
Marcos Paz;Buenos Aires
Maria Juana;Santa Fe
Maria Susana;Santa Fe
Mariano H. Alfonzo;Buenos Aires
Martinez de Hoz;Buenos Aires
Martín Coronado;Buenos Aires
Martínez;Buenos Aires
Martínez, San Isidro;Buenos Aires
María Grande;Entre Ríos
María Juana;Santa Fe
Mayor Vicente E. Villafañe;Formosa
Mburucuyá;Corrientes
Mechita;Buenos Aires
Mechongué;Buenos Aires
Melo;Córdoba
Mendoza;Mendoza
Mercedes;Buenos Aires
Mercedes;Corrientes
Merlo;Buenos Aires
Merlo;San Luis
Mesón de Fierro;Chaco
Metán;Salta
Milagro;La Rioja
Mina Clavero;Córdoba
Miraflores;Chaco
Miramar;Buenos Aires
Mocoretà;Corrientes
Mocoretá;Corrientes
Monte Buey;Córdoba
Monte Caseros;Corrientes
Monte Coseros;Corrientes
Monte Grande;Buenos Aires
Monte Grande  ;Buenos Aires
Monte Grande, E. Echeverría;Buenos Aires
Monte Hermoso;Buenos Aires
Monte Maíz;Córdoba
Monte Quemado;Santiago del Estero
Montecarlo;Misiones
Monteros;Tucumán
Monterrico;Jujuy
Monterrico;Jyjuy
Montes de Oca;Santa Fe
Moreno;Buenos Aires
Morrison;Córdoba
Morteros;Córdoba
Morón;Buenos Aires
Munro;Buenos Aires
Munro, Vicente Lopez;Buenos Aires
Murphy;Santa Fe
Música;Chubut
N. de la Riestra;Buenos Aires
Navarro;Buenos Aires
Necochea;Buenos Aires
Nelson;Santa Fe 
Neuquen;Neuquen
Neuquen;Neuquén
Neuquén;Neuquen
Neuquén;Neuquén
Neuquén;Neuquén 
Noetinger;Córdoba
Nogoyá;Entre Ríos
Nono;Córdoba
Norberto de la Riestra;Buenos Aires
Oberá;Misiones
Olavarría;Buenos Aires
Oliva;Córdoba
Olivos;Buenos Aires
Olta;La Rioja
Olta;La Rioja 
Oncativo;Córdoba
Ordóñez;Córdoba
Orense;Buenos Aires
Oro Verde;Entre Ríos
Orán;Salta
O´Brien;Buenos Aires
Pablo Nogués;Buenos Aires
Pablo Podestá;Buenos Aires
Palmira;Mendoza
Palpalá;Jujuy
Pampa De Los Guanacos;Santiago del Estero
Pampa del Indio;Chaco
Paraná;Entre Ríos
Parera;La Pampa
Pascanas;Córdoba
Paso de los Libres;Corrientes
Paso del Rey;Buenos Aires
Pblo Libertador;Corrientes
Pcia. de la Plaza;Chaco
Pedro Luro;Buenos Aires
Pehuajó;Buenos Aires
Pellegrini;Buenos Aires
Perez;Santa Fe
Pergamino;Buenos Aires
Perico del Carmen;Jujuy
Pericó;Jujuy
Perito Moreno;Santa Cruz
Peyrano;Santa Fe
Pichanal;Salta
Pico truncado;Santa Cruz
Pico Truncado;Santa Cruz
Pico truncado;Santa Cruz
Piedra del Aguila;Neuquén
Piedras Blancas;Entre Ríos
Pigué;Buenos Aires
Pigüé;Buenos Aires
Pilar;Buenos Aires
Pilar;Córdoba
Pilar;Santa Fe
Pinamar;Buenos Aires
Pirané;Formosa
Piñeyro;Buenos Aires
Poman;Catamarca
Pomán;Catamarca
Pontevedra;Buenos Aires
Porteña;Córdoba
Posadas;Misiones
Pozo del Molle;Córdoba
Ppa. del Infierno;Chaco
Presidencia Roque Peña;Chaco
Presidencia Roque Sáenz Peña;Chaco
Progreso;Santa Fe
Ps de los Libres;Corrientes
Pte. R. Sáenz Peña;Chaco
Pte. Roque Sáenz Peña;Chaco
Puan;Buenos Aires
Pueblo Esther;Santa Fe
Pueblo Italiano;Córdoba
Puerto Belgrano;Buenos Aires
Puerto Deseado;Santa Cruz
Puerto Esperanza;Misiones
Puerto Gral San Martín;Sana Fe
Puerto Gral San Martín;Santa Fe
Puerto Iguazú;Misiones
Puerto Madryn;Chubut
Puerto Madryn ;Chubut
Puerto Rico;Misiones
Puerto Rosales;Buenos Aires
Puerto San Julian;Santa Cruz
Puerto San Julián;Santa Cruz
Puerto Santa Cruz;Santa Cruz
Punta Alta;Buenos Aires
Punta Indio;Buenos Aires
Puán;Buenos Aires
Quilmes;Buenos Aires
Quimili;Santiago del Estero
Quines;San Juan
Quitilipi;Chaco
R de Escalada;Buenos Aires
Rafael Calzada;Buenos Aires
Rafael Castillo;Buenos Aires
Rafaela;Santa Fe
Rafaela;Santa Fe 
Ramallo;Buenos Aires
Ramona;Santa Fe
Ramos Mejía;Buenos Aires
Ramírez;Entre Ríos
Ranchos;Buenos Aires
Rancul;La Pampa
Rauch;Buenos Aires
Rawson;Chubut
Rawson;San Juan
Realicó;La Pampa
Reconquista;Santa Fe
Reconquista;Santa Fe 
Recreo;Catamarca
Recreo;Santa Fe
Recreo;Santa Fe 
Reducción;Córdoba
Remedios de Escalada;Buenos Aires
Resistencia;Chaco
Reta;Buenos Aires
Ricardone;Santa Fe
Rincon de los Sauces;Neuquén
Rincón de los Sauces;Neuquén
Rio Colorado;Rio Negro
Rio Colorado;Río Negro
Rio Cuarto;Córdoba
Rio Gallegos;Santa Cruz
Rio Grande;Tierra del Fuego
Rio Grande Drios;Tierra del Fuego
Rio Mayo;Chubut
Rivadavia;Buenos Aires
Rivadavia;Mendoza
Rivadavia;San Juan
Rivera;Buenos Aires
Rodeo de la Cruz;Mendoza
Rojas;Buenos Aires
Roldán;Santa Fe
Romang;Santa Fe
Román;Santa Fe
Roque Peréz;Buenos Aires
Roque Pérez;Buenos Aires
Roque S. Peña;Chaco
Roque Saenz Peña;Chaco
Rosario;Santa Fe
Rosario;Santa Fe 
Rosario de la Frontera;Salta
Rosario de la frontera;Salta
Rosario de la Frontera;Salta
Rosario de Lerma;Salta
Rosario del Tala;Entre Ríos
Rufino;Santa Fe
Rufino;Santa Fe 
Río Ceballos;Córdoba
Río Colorado;Río Negro
Río Cuarto;Córdoba
Río Cuarto;Córdoba 
Río de los Sauces;Córdoba
Río Gallegos;Buenos Aires
Río Gallegos;Santa Cruz
Río Grande;Tierra del Fuego
Río Hondo;Santiago del Estero
Río Mayo;Chubut
Río Primero;Córdoba
Río Segundo;Córdoba
Río Tercero;Córdoba
Río Turbio;Santa Cruz
S Carlos Centro;Santa Fe
S Clara de Buena Vista;Santa Fe
S Jerónimo Norte;Santa Fe
S Ramon Nva Orán;Salta
S. Clara del Mar;Buenos Aires
S. de la Ventana;Buenos Aires
S. de los Padres;Buenos Aires
Saavedra;Buenos Aires
Sacháyoj;Santiago del Estero
Saenz Peña;Chaco
Saladas;Corrientes
Saladillo;Buenos Aires
Salazar;Buenos Aires
Salliqueló;Buenos Aires
Salta;Salta
Salta;Salta 
Salto;Buenos Aires
Salvador Mazza;Salta
Sampacho;Córdoba
San A. de Areco;Buenos Aires
San Andrés  ;Buenos Aires
San Andrés de Giles;Buenos Aires
San Antonio de Areco;Buenos Aires
San Antonio de Padua;Buenos Aires
San Antonio Oeste;Rio Negro
San Antonio Oeste;Río Negro
San Basilio;Córdoba
San Benito;Entre Ríos
San Bernardo;Buenos Aires
San Bernardo;Chaco
San Carlos Centro;Santa Fe
San Carlos de Bariloche;Rio Negro
San Carlos de Bariloche;Río Negro
San Cayetano;Buenos Aires
San Clemente;Buenos Aires
San Clemente del Tuyú;Buenos Aires
San Cristóbal;Santa Fe
San Fco. Solano;Buenos Aires
San Fernando;Buenos Aires
San Fernando;Catamarca
San Francisco;Córdoba
San Francisco  ;Córdoba
San Francisco Solano;Buenos Aires
San Genaro;Buenos Aires
San Genaro;Santa Fe
San Genaro Norte;Santa Fe
San Gregorio;Santa Fe
San Guillermo;Santa Fe
San Isidro;Buenos Aires
San Isidro;Catamarca
San Isidro de Lules;Tucumán
San Isidro, Vicente López y otros;Buenos Aires
San Javier;Misiones
San Javier;Santa Fe
San Jenaro Norte;Santa Fe
San Jerónimo Norte;Santa Fe
San Jorge;Santa Fe
San Jorge;Santa Fe 
San José;Entre Ríos
San José  ;Entre Ríos
San José de Feliciano;Entre Ríos
San José de Jáchal;San Juan
San Juan;San Juan
San Justo;Buenos Aires
San Justo;Entre Ríos
San Justo;Santa Fe
San Justo;Santa Fe 
San Justo ;Buenos Aires
San Jóse de la Esquina;Santa Fe
San L del Palmar;Corrientes
San Lorenzo;Santa Fe
San Luis;San Luis
San Luis;San Luis 
San Marcos Sierra;Córdoba
San Martín;Buenos Aires
San Martín;Mendoza
San Martín ;Buenos Aires
San Martín  ;Buenos Aires
San Martín de los Andes;Neuquén
San Martín de los Andes;Neuquén 
San Matín;Buenos Aires
San Miguel;Buenos Aires
San Miguel;Corrientes
San Miguel  ;Buenos Aires
San Miguel de Tucumán;Tucumán
San Miguel del Monte;Buenos Aires
San Mimguel de Tucumán;Tucumán
San Nicolás;Buenos Aires
San Nicolás ;Buenos Aires
San Nicolás de los Arroyos;Buenos Aires
San Pedro;Buenos Aires
San Pedro;Jujuy
San rafael;Mendoza
San Rafael;Mendoza
San rafael;Mendoza
San Rafael;Mendoza
San rafael;Mendoza
San Rafael;Mendoza
San rafael;Mendoza
San Rafael;Mendoza
San Ramón;Salta
San Roque;Corrientes
San Salvador;Entre Ríos
San Salvador ;Entre Ríos
San Salvador  ;Entre Ríos
San Salvador de Jujuy;Jujuy
San Vicente;Buenos Aires
San Vicente;Santa Fe
Sana Fe;Santa Fe 
Sancti Spiritu;Santa Fe
Santa Ana;Tucumán
Santa Catalina;Córdoba
Santa Cruz;Santa Cruz
Santa Elena;Entre Ríos
Santa Eufemia;Córdoba
Santa Fe;Santa Fe
Santa Fe;Santa fe
Santa Fe;Santa Fe
Santa Fe;Santa Fe 
Santa Fe ;Santa Fe
Santa Fe ;Santa Fe 
Santa Fe de la Veracruz;Santa Fe
Santa Isabel;Santa Fe
Santa María;Buenos Aires
Santa María;Catamarca
Santa Rosa;Corrientes
Santa Rosa;La Pampa
Santa Rosa del Conlara;San Juan
Santa Sylvina;Chaco
Santa Teresa;Santa Fe
Santa Teresita;Buenos Aires
Santiago del Estero;Santiago del Estero
Santo Tomé;Corrientes
Santo Tomé;Santa Fe
Sarandí;Buenos Aires
Sastre;Santa fe
Sastre;Santa Fe
Sauce;Corrientes
Sauce de Luna;Entre Ríos
Segui;Entre Ríos
Seguí;Entre Ríos
Serrano;Córdoba
Sierra de la Ventana;Buenos Aires
Sierra Grande;Rio Negro
Sierras de Córdoba;Córdoba
Simoca;Tucumán
Sn José de Metán;Salta
SR Calamuchita;Córdoba
Sta. Rosa de Calamuchita;Córdoba
Stefenelli;Río Negro
Strobel;Entre Ríos
Suardi;Santa Fe
Suchales;Santa Fe
Suipacha;Buenos Aires
Sumampa;Santiago del Estero
Sunchales;Santa Fe
Sunchales;Santa Fe 
Tacuarendí;Santa Fe
Tafi Viejo;Tucumán
Talar de Pacheco;Buenos Aires
Tandil;Buenos Aires
Tapalqué;Buenos Aires
Tapiales;Buenos Aires
Tartagal;Salta
Temperley;Buenos Aires
Teodelina;Santa Fe
Teodelina;Santa Fe 
Termas Rio Hondo;Santiago del Estero
Ticino;Córdoba
Tigre;Buenos Aires
Tilcara;Jujuy
Tiro Federal;Entre Ríos
Toay;La Pampa
Tolhuin;Tierra del Fuego
Tornquist;Buenos Aires
Tortuguitas;Buenos Aires
Tostado;Santa Fe
Totoras;Santa Fe
Trancas;Tucumán
Trelew;Chubut
Trelew ;Chubut
Trenque Lauquen;Buenos Aires
Trenque Lauquen ;Buenos Aires
Tres Algarrobos;Buenos Aires
Tres Arroyos;Buenos Aires
Tres de Febrero;Buenos Aires
Tres Isletas;Chaco
Tres Lomas;Buenos Aires
Tres Lomas ;Buenos Aires
